Station.Id,StationName,longitude,latitude,Easting,Northing
40,"Commercial Street, Shoreditch",-0.0755789,51.5213,533611.07,182016.51
41,"Pindar Street, Liverpool Street",-0.0839112,51.52,533036.68,181861.94
42,"Wenlock Road, Hoxton",-0.0939038,51.531,532311.64,183064.25
43,"Crawford Street, Marylebone",-0.157184,51.5203,527952.63,181758.37
44,"Bruton Street, Mayfair",-0.144165,51.5107,528882.67,180722.19
45,"Boston Place, Marylebone",-0.162298,51.5225,527589.2,182009.84
46,"Nesham Street, Wapping",-0.06691,51.5071,534249.54,180457.25
47,"Warwick Avenue Station, Maida Vale",-0.183846,51.5233,526094.38,182055.16
48,"Godliman Street, St. Paul's",-0.0991414,51.5125,532001.83,180996.72
49,"Curzon Street, Mayfair",-0.145904,51.5071,528772.32,180311.26
50,"East Road, Hoxton",-0.0874594,51.5287,532765.36,182818.1
51,"Finsbury Library, Finsbury",-0.104298,51.5267,531603.01,182570.25
52,"Roscoe Street, St. Luke's",-0.0949349,51.523,532263.4,182168.6
53,"Grafton Street, Mayfair",-0.143495,51.51,528931.26,180640.57
54,"Golden Lane, Barbican",-0.0944751,51.5217,532298.79,182035.26
55,"Finsbury Circus, Liverpool Street",-0.0866855,51.5171,532852.76,181529.75
56,"Paddington Street, Marylebone",-0.154701,51.5206,528123.95,181798.72
57,"Guilford Street, Bloomsbury",-0.120203,51.5233,530509.42,182166.89
58,"New Inn Yard, Shoreditch",-0.0792481,51.5245,533347.02,182371.93
59,"Rodney Street, Angel",-0.114329,51.5318,530892.74,183113.88
60,"Lisson Grove, St. John's Wood",-0.172191,51.5264,526894.33,182420.42
61,"Great Dover Street, The Borough",-0.0894469,51.4974,532718.34,179334.86
62,"Cotton Garden Estate, Kennington",-0.106324,51.4908,531565.98,178567.74
63,"Murray Grove, Hoxton",-0.0897826,51.5309,532597.78,183060.43
64,"William IV Street, Strand",-0.124749,51.5095,530233.58,180614.78
65,"Gower Place, Euston",-0.135189,51.5252,529464.5,182349.44
66,"Holborn Circus, Holborn",-0.108657,51.518,531352,181582
67,"Hatton Garden, Holborn",-0.108028,51.5188,531366.95,181685.89
68,"Theobald's Road, Holborn",-0.116688,51.5206,530761.07,181867.36
69,"Euston Road, Euston",-0.134408,51.5262,529515.81,182463
70,"Calshot Street, King's Cross",-0.11707,51.5314,530703.8,183063.65
71,"Newgate Street, St. Paul's",-0.0988509,51.5154,532013.51,181323.53
72,"Farringdon Lane, Clerkenwell",-0.10834,51.5235,531331.83,182207.37
73,"Old Street Station, St. Luke's",-0.0884862,51.5257,532702.7,182488.5
74,"Vauxhall Cross, Vauxhall",-0.12447,51.4859,530320.05,177997
75,"Torrens Street, Angel",-0.105481,51.5322,531505.2,183177.73
76,"Longford Street, The Regent's Park",-0.144084,51.5256,528846.41,182374.62
77,"Russell Square Station, Bloomsbury",-0.124122,51.5234,530237.34,182167.88
78,"Sadlers Sports Centre, Finsbury",-0.0994895,51.5249,531941.91,182373.28
79,"Arundel Street, Temple",-0.0971465,51.4912,532201.84,178631.36
80,"Webber Street, Southwark",-0.102091,51.5007,531831.15,179680.23
81,"Great Titchfield Street, Fitzrovia",-0.141327,51.5203,529052.72,181785.42
82,"Chancery Lane, Holborn",-0.111257,51.5143,531156.89,181174.2
83,"Panton Street, West End",-0.131511,51.5096,529763.87,180622.49
84,"Breams Buildings, Holborn",-0.111778,51.5159,531115.08,181357.98
85,"Tanner Street, Bermondsey",-0.0786004,51.5006,533461.67,179717.59
86,"Sancroft Street, Vauxhall",-0.115157,51.4895,530956.46,178409.7
87,"Devonshire Square, Liverpool Street",-0.0796846,51.5165,533340.26,181474.99
88,"Bayley Street, Bloomsbury",-0.132053,51.5186,529700.83,181616.6
89,"Tavistock Place, Bloomsbury",-0.12351,51.5263,530271.73,182483.89
90,"Harrington Square 1, Camden Town",-0.139175,51.533,529165.96,183208.85
91,"Walnut Tree Walk, Vauxhall",-0.111015,51.4937,531231.91,178884.98
92,"Borough Road, Elephant & Castle",-0.100441,51.4989,531950.9,179483.56
93,"Cloudesley Road, Angel",-0.109025,51.5344,531252.73,183416.66
94,"Bricklayers Arms, Borough",-0.0858145,51.4951,532977.22,179083.3
95,"Aldersgate Street, Barbican",-0.0973402,51.5208,532102.65,181929.32
96,"Falkirk Street, Hoxton",-0.0785054,51.531,533379.78,183087.62
97,"Gloucester Road (North), Kensington",-0.183835,51.4979,526165.34,179228.37
98,"Hampstead Road, Euston",-0.138231,51.5255,529197.05,182882.41
99,"Old Quebec Street, Marylebone",-0.158264,51.5146,527897.26,181113.12
100,"Albert Embankment, Vauxhall",-0.122807,51.4904,530422.63,178502.44
101,"Queen Street 1, Bank",-0.0929401,51.5116,532434.82,180904.36
102,"Jewry Street, Aldgate",-0.0767934,51.5134,533549.8,181139.82
103,"Vicarage Gate, Kensington",-0.192539,51.5047,525542.52,179969.49
104,"Crosswall, Tower",-0.0771213,51.5116,533532.34,180937.71
105,"Westbourne Grove, Bayswater",-0.190241,51.5155,525672.29,181175.1
106,"Woodstock Street, Mayfair",-0.147302,51.5141,528655.55,181091.24
107,"Finsbury Leisure Centre, St. Luke's",-0.0963176,51.526,532158.64,182505.71
108,"Abbey Orchard Street, Westminster",-0.132102,51.4981,529755.52,179341.07
109,"Soho Square, Soho",-0.132329,51.5156,529690.11,181287.38
110,"Wellington Road, St. John's Wood",-0.172529,51.533,526852.57,183153.22
111,"Park Lane, Hyde Park",-0.157276,51.51,527974.95,180619.17
112,"Stonecutter Street, Holborn",-0.10527,51.5158,531566.99,181355.5
113,"Gloucester Road (Central), South Kensington",-0.183289,51.4965,526207.25,179066.74
114,"Park Road (Baker Street), The Regent's Park",-0.158964,51.5245,527817.25,182228.7
115,"Braham Street, Aldgate",-0.0735377,51.5142,533773.28,181237.7
116,"Little Argyll Street, West End",-0.141424,51.5145,529062.28,181145.45
117,"Lollard Street, Vauxhall",-0.114934,51.4929,530962.17,178788.37
118,"Rochester Row, Westminster",-0.135478,51.4958,529527.71,179079.49
119,"Bath Street, St. Luke's",-0.0908478,51.5259,532538.4,182502.8
120,"The Guildhall, Guildhall",-0.0930808,51.5157,532412.94,181369.17
121,"Baker Street, Marylebone",-0.156167,51.5189,528026.98,181610.41
122,"Norton Folgate, Liverpool Street",-0.0788698,51.5211,533383.23,181993.05
123,"St. John Street, Finsbury",-0.104725,51.5284,531568.7,182752.1
124,"Eaton Square, Belgravia",-0.150905,51.4965,528454.85,179132.12
125,"Borough High Street, The Borough",-0.0945243,51.5007,532356.33,179694.02
126,"Museum of London, Barbican",-0.0964969,51.5178,532169.89,181594.98
127,"Wood Street, Guildhall",-0.0938854,51.517,532353.43,181509.24
128,"Emperor's Gate, South Kensington",-0.185297,51.4954,526070.94,178940.89
129,"Golden Square, Soho",-0.137044,51.5119,529373.54,180863.79
130,"Tower Gardens, Tower",-0.0754595,51.5095,533653.76,180708.49
131,"Eversholt Street, Camden Town",-0.136793,51.533,529331.2,183211.54
132,"Bethnal Green Road, Shoreditch",-0.0747549,51.5236,533661.28,182282.38
133,"Derry Street, Kensington",-0.191462,51.5014,525626.45,179597.82
134,"Wapping High Street, Wapping",-0.06797,51.5049,534197.58,180201.54
135,"Clerkenwell Green, Clerkenwell",-0.104709,51.5233,531584.48,182184.98
136,"Queen Victoria Street, St. Paul's",-0.0974417,51.512,532121.28,180941.66
138,"Green Street, Mayfair",-0.157437,51.5123,527957.43,180870.1
139,"Lambeth Road, Vauxhall",-0.117975,51.4949,530745.36,179005.39
140,"Finsbury Square, Moorgate",-0.0856342,51.521,532914.39,181963.95
141,"Chapel Place, Marylebone",-0.147204,51.5153,528658.96,181225.18
142,"West Cromwell Road, Earl's Court",-0.198287,51.4937,525173.73,178736.49
143,"Pont Street, Knightsbridge",-0.161204,51.4969,527739.05,179152.13
144,"Kennington Cross, Kennington",-0.111436,51.4889,531216.31,178356.44
145,"Ilchester Place, Kensington",-0.202759,51.5007,524844.09,179509.41
146,"Vauxhall Bridge, Pimlico",-0.129362,51.4884,529973.46,178260.55
147,"Portugal Street, Holborn",-0.116146,51.5149,530814.86,181239.61
148,"Tachbrook Street, Victoria",-0.138365,51.4921,529337.84,178661.19
149,"Kennington Road Post Office, Oval",-0.110683,51.4848,531280.47,177896.16
150,"Holy Trinity Brompton, Knightsbridge",-0.168917,51.4971,527203.19,179157.56
151,"Chepstow Villas, Notting Hill",-0.201555,51.5121,524896.54,180778.45
152,"Hampton Street, Walworth",-0.101537,51.4922,531894.21,178733.38
153,"Bayswater Road, Hyde Park",-0.174293,51.5118,526789.06,180791.63
154,"Waterloo Station 3, Waterloo",-0.113864,51.504,531040.64,180023.88
155,"Lexham Gardens, Kensington",-0.191934,51.4959,525608.84,178985.58
156,"New Kent Road, The Borough",-0.0929212,51.4944,532485.73,179000.94
157,"Wright's Lane, Kensington",-0.193068,51.5004,525517.64,179487.53
158,"Trebovir Road, Earl's Court",-0.19617,51.4909,525328.5,178420.86
159,"Great Marlborough Street, Soho",-0.137841,51.5146,529310.5,181165.15
160,"Waterloo Place, St. James's",-0.131774,51.5066,529754.16,180287.75
161,"Guildhouse Street, Victoria",-0.141334,51.4923,529131.03,178682.02
162,"Southampton Place, Holborn",-0.121328,51.5176,530447.71,181526.59
163,"Sloane Avenue, Knightsbridge",-0.167895,51.4932,527284.91,178728.84
164,"Cleveland Gardens, Bayswater",-0.183119,51.5156,526166.22,181195.94
165,"Orsett Terrace, Bayswater",-0.183717,51.5179,526118.3,181453.46
166,"Seville Street, Knightsbridge",-0.159237,51.5019,527861.67,179708.09
167,"Eccleston Place, Victoria",-0.147624,51.494,528689.88,178849.45
168,"Argyll Road, Kensington",-0.195456,51.5004,525351.92,179483.81
169,"Porchester Place, Paddington",-0.165164,51.5147,527414.36,181131.29
170,"Hardwick Street, Clerkenwell",-0.108068,51.5278,531338.27,182688.56
171,"Collingham Gardens, Earl's Court",-0.186754,51.4916,525980.1,178521.74
172,"Sumner Place, South Kensington",-0.173716,51.4912,526886.31,178499.35
173,"Waterloo Road, South Bank",-0.113001,51.5049,531063,180124
174,"Strand, Strand",-0.115163,51.5125,530892.116,180973.289
175,"Worship Street, Shoreditch",-0.0811189,51.5217,533225.36,182059.03
176,"Gloucester Terrace, Bayswater",-0.188099,51.5179,525814.32,181444.5
177,"Ashley Place, Victoria",-0.140948,51.4962,529147.11,179106.96
178,"Warwick Square, Pimlico",-0.141924,51.4899,529097.16,178404.14
180,"North Audley Street, Mayfair",-0.153645,51.5129,528218.73,180947.41
181,"Belgrave Square, Belgravia",-0.152318,51.4994,528348.77,179448.56
182,"Bell Street, Marylebone",-0.165843,51.522,527339.64,181936.92
183,"Riverlight North, Nine Elms",-0.136124,51.4824,529524.18,177582.33
184,"Portland Place, Marylebone",-0.145212,51.5207,528781.93,181829.97
185,"Alderney Street, Pimlico",-0.140741,51.4881,529184.31,178206.2
186,"South Wharf Road, Paddington",-0.175811,51.5173,526668.47,181400.78
187,"Queen's Gate (South), South Kensington",-0.178433,51.4925,526405.85,179579.5
188,"Nutford Place, Marylebone",-0.164394,51.5165,527462.88,181329.66
189,"Claremont Square, Angel",-0.109915,51.5317,531199.2,183110.5
190,"Rampayne Street, Pimlico",-0.132846,51.49,529727.03,178433.45
191,"Hyde Park Corner, Hyde Park",-0.153521,51.5031,528254.85,179858.52
192,"Wardour Street, Soho",-0.133202,51.5125,529638.37,180939.3
193,"Bankside Mix, Bankside",-0.100186,51.5058,531948.57,180253.48
194,"Hop Exchange, The Borough",-0.0917738,51.5046,532535.83,180136.32
195,"Milroy Walk, South Bank",-0.106238,51.5072,531524.53,180401.24
196,"Union Street, The Borough",-0.0984977,51.5037,532071.91,180019.73
197,"Stamford Street, South Bank",-0.111607,51.5056,531156.74,180205.31
199,"Great Tower Street, Monument",-0.0829896,51.5105,533128.38,180803.6
200,"LMU Commercial Road, Whitechapel",-0.066078,51.5149,534288.83,181328.18
201,"Dorset Square, Marylebone",-0.161113,51.5226,527673.49,182011.34
202,"Leman Street, Aldgate",-0.069542,51.5124,534056,181037.08
203,"West Smithfield Rotunda, Farringdon",-0.100791,51.5182,531870.82,181631.408
204,"Margery Street, Clerkenwell",-0.112433,51.5266,531039.1,182542.5
206,"New Road 1, Whitechapel",-0.06275,51.5181,534517.16,181693.13
207,"Grosvenor Crescent, Belgravia",-0.153195,51.5014,528282.44,179662.78
208,"Mallory Street, Marylebone",-0.166304,51.5251,527306.54,182275.31
209,"Denyer Street, Knightsbridge",-0.165101,51.4936,527477.72,178778.08
210,"Hinde Street, Marylebone",-0.151926,51.5168,528327.06,181384.41
211,"Cadogan Place, Knightsbridge",-0.158106,51.4946,527960.38,178908.3
212,"Campden Hill Road, Notting Hill",-0.199004,51.5066,525088.74,180165.36
213,"Wellington Arch, Hyde Park",-0.149569,51.5027,528530.17,179823.44
214,"Endsleigh Gardens, Euston",-0.130504,51.5268,529784.86,182536.83
215,"Moorfields, Moorgate",-0.0882854,51.5191,532735.97,181748.6
216,"Old Brompton Road, South Kensington",-0.181191,51.4909,526368.13,178456.82
217,"Wormwood Street, Liverpool Street",-0.0824224,51.5162,533151.22,181435.12
218,"St. Luke's Church, Chelsea",-0.170194,51.4897,527134.93,178339.16
219,"Bramham Gardens, Earl's Court",-0.190394,51.4902,525731.42,178354.02
220,"Chelsea Green, Chelsea",-0.166485,51.4907,527389.8,178451.03
221,"Horseferry Road, Westminster",-0.130459,51.4948,529873.85,178973.78
222,"Knightsbridge, Hyde Park",-0.15535,51.5028,528128.94,179815.18
223,"Rodney Road, Walworth",-0.0902209,51.4915,532681.73,178677.61
224,"Queensway, Westminster",-0.1874024,51.51031,525885,180600
